iter	MultiClass
0	1.072262538
1	1.049837159
2	1.02370399
3	1.002238065
4	0.9777914902
5	0.965553225
6	0.9465891868
7	0.9277427366
8	0.9129292326
9	0.8966551739
10	0.8819119916
11	0.8656676726
12	0.8521670728
13	0.8428579842
14	0.8304166347
15	0.8163065325
16	0.8048534012
17	0.7943146342
18	0.7808745282
19	0.7737288913
20	0.7649561562
21	0.7563892517
22	0.7459712394
23	0.7398958566
24	0.7299512492
25	0.7204479799
26	0.7099879963
27	0.7049435048
28	0.6962584179
29	0.6909324695
30	0.6796645095
31	0.6766667214
32	0.667079985
33	0.6613757986
34	0.6583205852
35	0.6519532161
36	0.6435956704
37	0.6396854503
38	0.6328352406
39	0.6273155492
40	0.6228502868
41	0.6137640662
42	0.6078093405
43	0.6028299286
44	0.5969162523
45	0.5921964495
46	0.5861407157
47	0.5797050193
48	0.5754654169
49	0.5723083087
50	0.567484313
51	0.5622407496
52	0.5579841864
53	0.5536157421
54	0.5508274899
55	0.5456252959
56	0.5421592473
57	0.5394360189
58	0.5360503262
59	0.5317697113
60	0.5280065837
61	0.5251525839
62	0.520497994
63	0.5152422952
64	0.5104133571
65	0.5058435566
66	0.5006248042
67	0.4973490265
68	0.4936978297
69	0.4901435161
70	0.487018369
71	0.4840258342
72	0.480932907
73	0.4786907259
74	0.4740470601
75	0.471340833
76	0.4689220199
77	0.4656406318
78	0.461006566
79	0.4584480741
80	0.4542782746
81	0.4507636461
82	0.4480667351
83	0.4442465292
84	0.4392837048
85	0.4358281921
86	0.4334098134
87	0.4296639326
88	0.4247202618
89	0.4214819212
90	0.4182884129
91	0.4154386743
92	0.413151528
93	0.4102764501
94	0.4074801004
95	0.4029005319
96	0.399149084
97	0.3963389094
98	0.3935022222
99	0.3911521157
100	0.3893810254
101	0.3857445808
102	0.3823145181
103	0.3802829345
104	0.3782889464
105	0.3763031924
106	0.3753229041
107	0.3735569605
108	0.3701203277
109	0.3675351274
110	0.3643205329
111	0.3606828562
112	0.3584991528
113	0.3565252314
114	0.3541061672
115	0.3513339137
116	0.3485187316
117	0.3452898723
118	0.3436826765
119	0.3420791265
120	0.3407285116
121	0.3378429001
122	0.3348162531
123	0.332651892
124	0.3303142329
125	0.3279899813
126	0.325608234
127	0.3238020614
128	0.3214827886
129	0.3194456385
130	0.3171062061
131	0.3143912703
132	0.3134950665
133	0.3121785053
134	0.311159903
135	0.3087736048
136	0.3062033677
137	0.3030768921
138	0.301210802
139	0.2984414573
140	0.2977222603
141	0.2955161408
142	0.2944769241
143	0.2928489854
144	0.2908265562
145	0.2894140628
146	0.2876166297
147	0.2857855722
148	0.2846310189
149	0.2824628983
150	0.2810111757
151	0.2795318495
152	0.2773245735
153	0.2756003487
154	0.2731927542
155	0.2724190832
156	0.2704732037
157	0.2693919277
158	0.2678623498
159	0.2657542875
160	0.2641273286
161	0.2629708441
162	0.2610628138
163	0.2585338268
164	0.2566373538
165	0.2553135602
166	0.2536801854
167	0.2528250304
168	0.2504727047
169	0.2491500609
170	0.2479796698
171	0.2471457827
172	0.2458254828
173	0.244052397
174	0.2428128975
175	0.2419228587
176	0.2402436231
177	0.2383582595
178	0.2373231154
179	0.236622852
180	0.235767102
181	0.2341451327
182	0.2331382097
183	0.2320091444
184	0.2310903093
185	0.230501925
186	0.2290966746
187	0.2281932228
188	0.2270909203
189	0.2262025336
190	0.2253638035
191	0.2244374541
192	0.2232287291
193	0.2219050816
194	0.2211810157
195	0.2207276853
196	0.2195377089
197	0.2185989641
198	0.2172189168
199	0.2163713708
200	0.2155509445
201	0.2142352615
202	0.2131013345
203	0.2123694031
204	0.2110434663
205	0.2102735305
206	0.2092303065
207	0.2086328086
208	0.207722918
209	0.2065831906
210	0.2053663574
211	0.2045718277
212	0.2031344694
213	0.2021311751
214	0.2008544651
215	0.1996450004
216	0.1985386981
217	0.19762748
218	0.1968185881
219	0.196103545
220	0.1954080299
221	0.1944585241
222	0.1935848239
223	0.1929344708
224	0.1916902053
225	0.1903074541
226	0.1896272643
227	0.1890412812
228	0.1877022518
229	0.1870768808
230	0.1862572234
231	0.1855482522
232	0.1846427251
233	0.1835724335
234	0.1824224225
235	0.1816216031
236	0.1814302246
237	0.1810840103
238	0.1804436321
239	0.1800770513
240	0.1794384821
241	0.1784926066
242	0.1777533054
243	0.1770200593
244	0.1763980967
245	0.1757678987
246	0.1751751957
247	0.1743175263
248	0.1737068792
249	0.1734650327
250	0.172605033
251	0.1717947686
252	0.170852127
253	0.1705084401
254	0.1698630781
255	0.1686860163
256	0.1676242304
257	0.1669039191
258	0.1657142243
259	0.1654311753
260	0.1646951486
261	0.163759989
262	0.1630614503
263	0.1621826324
264	0.1616907244
265	0.1613131362
266	0.1607852533
267	0.1601013143
268	0.1596014199
269	0.1588244806
270	0.1581696012
271	0.1569995797
272	0.1562518353
273	0.1554703828
274	0.1547966691
275	0.1541951058
276	0.1535441699
277	0.1529829607
278	0.152359179
279	0.1515022591
280	0.151247327
281	0.1506445168
282	0.1498536968
283	0.1491330741
284	0.148617886
285	0.1481503434
286	0.1476457848
287	0.1471082381
288	0.1466415286
289	0.1463012327
290	0.1457674636
291	0.1454716874
292	0.1450405816
293	0.1442284035
294	0.1438984766
295	0.1435545397
296	0.1429648824
297	0.1425298972
298	0.1420241296
299	0.1413652516
300	0.1408511733
301	0.1404322125
302	0.1398987346
303	0.1393916433
304	0.138988248
305	0.1385611233
306	0.137576769
307	0.1372168727
308	0.1366426887
309	0.1362669917
310	0.1358327455
311	0.1352804692
312	0.1346714606
313	0.1340829658
314	0.1334558712
315	0.1327516436
316	0.1321156301
317	0.1318061056
318	0.1313823731
319	0.1309315562
320	0.1305472084
321	0.1303026713
322	0.1297507422
323	0.1294126266
324	0.1289246336
325	0.1286182644
326	0.1280211223
327	0.1275387501
328	0.1269924458
329	0.1264361466
330	0.1261373271
331	0.1258079427
332	0.1253777819
333	0.1249168103
334	0.1243759112
335	0.1240172824
336	0.1234390221
337	0.123027922
338	0.1226931248
339	0.1223311204
340	0.1220467767
341	0.1216488371
342	0.1211915236
343	0.1208532751
344	0.1201789678
345	0.119833367
346	0.1195277468
347	0.1191549653
348	0.1187445845
349	0.1181642542
350	0.1179248989
351	0.1175904509
352	0.1168796591
353	0.1165858983
354	0.116268055
355	0.1157406829
356	0.1152890673
357	0.114950772
358	0.1145820059
359	0.1139600611
360	0.1136515735
361	0.1130036331
362	0.1126651391
363	0.1121625483
364	0.1118077108
365	0.1115393418
366	0.111185634
367	0.1109330549
368	0.1104516042
369	0.1101960179
370	0.1099188702
371	0.1096131152
372	0.1092320295
373	0.1089312285
374	0.108638594
375	0.1079958445
376	0.1075721968
377	0.1073420052
378	0.1070761277
379	0.1066596882
380	0.1061903985
381	0.1058389155
382	0.1053522035
383	0.1050624578
384	0.1048183228
385	0.1046322152
386	0.1043791931
387	0.1039360049
388	0.1035123381
389	0.1031552667
390	0.1028661998
391	0.1022371912
392	0.1019231746
393	0.101650401
394	0.1015142999
395	0.1013053851
396	0.1010015333
397	0.1007687778
398	0.1003613799
399	0.1001199897
400	0.09977950773
401	0.09935922593
402	0.09902388498
403	0.09876158475
404	0.09852609346
405	0.0983092852
406	0.09796658292
407	0.09769789677
408	0.09749621393
409	0.09720091047
410	0.09695760365
411	0.09655384569
412	0.09636479483
413	0.09614670212
414	0.09580657503
415	0.09552391464
416	0.09506496592
417	0.09493444345
418	0.09460266904
419	0.09423760079
420	0.0939434776
421	0.09367390948
422	0.09345948466
423	0.09295794705
424	0.09287968516
425	0.09262556862
426	0.09227974715
427	0.09207347574
428	0.09180058234
429	0.09155952494
430	0.09142929214
431	0.0911869109
432	0.09081980218
433	0.09044488197
434	0.0901533204
435	0.09001067389
436	0.08972250174
437	0.08956090322
438	0.08942576294
439	0.08911711372
440	0.08899374352
441	0.08853609987
442	0.08816099825
443	0.08794233781
444	0.0877135279
445	0.08749369398
446	0.08717426979
447	0.08692619949
448	0.0868280195
449	0.08662922005
450	0.08646168632
451	0.08628138093
452	0.0860050409
453	0.08563000653
454	0.08547724912
455	0.08518924124
456	0.08499374319
457	0.08483768903
458	0.08458394952
459	0.08431236073
460	0.0840764948
461	0.08384333152
462	0.08366774921
463	0.08341570351
464	0.08330850371
465	0.08295952176
466	0.08277704056
467	0.08244371837
468	0.08219284949
469	0.08198119445
470	0.08179049156
471	0.08149326742
472	0.08129192062
473	0.08107389668
474	0.08089828501
475	0.08081203956
476	0.08057352631
477	0.08041329232
478	0.08022166957
479	0.08003451932
480	0.07990176993
481	0.07971667916
482	0.07955583977
483	0.0794379934
484	0.0793534571
485	0.07923354313
486	0.07912340056
487	0.07883500787
488	0.07863849521
489	0.07846602454
490	0.07824587453
491	0.07800056885
492	0.0777285369
493	0.07747509992
