iter	Passed	Remaining
0	51	51036
1	52	26317
2	54	18044
3	55	13897
4	57	11401
5	58	9758
6	61	8716
7	62	7802
8	64	7100
9	65	6528
10	67	6065
11	68	5678
12	70	5356
13	72	5079
14	73	4838
15	76	4683
16	79	4615
17	81	4435
18	82	4278
19	84	4136
20	86	4010
21	87	3892
22	89	3782
23	90	3682
24	92	3592
25	94	3543
26	96	3474
27	98	3410
28	99	3344
29	101	3283
30	103	3227
31	104	3172
32	106	3124
33	111	3168
34	113	3125
35	115	3083
36	119	3097
37	120	3057
38	122	3017
39	124	2983
40	127	2992
41	129	2954
42	131	2921
43	132	2888
44	134	2854
45	136	2829
46	141	2869
47	143	2841
48	144	2813
49	147	2798
50	148	2766
51	150	2736
52	151	2707
53	153	2681
54	154	2654
55	155	2627
56	157	2603
57	158	2577
58	160	2553
59	161	2530
60	162	2506
61	164	2483
62	165	2460
63	166	2436
64	167	2413
65	168	2391
66	170	2369
67	171	2349
68	172	2330
69	174	2312
70	175	2294
71	176	2276
72	178	2260
73	179	2242
74	180	2226
75	181	2211
76	183	2197
77	184	2181
78	185	2166
79	187	2151
80	188	2135
81	189	2120
82	190	2107
83	191	2092
84	193	2080
85	194	2066
86	195	2053
87	196	2039
88	198	2027
89	199	2015
90	200	2003
91	201	1991
92	203	1981
93	204	1971
94	205	1959
95	206	1949
96	208	1940
97	209	1930
98	211	1920
99	212	1910
100	213	1900
101	214	1890
102	215	1880
103	217	1870
104	218	1862
105	219	1853
106	221	1844
107	222	1835
108	223	1827
109	224	1818
110	226	1810
111	227	1803
112	228	1794
113	229	1786
114	231	1778
115	232	1771
116	233	1764
117	235	1757
118	236	1750
119	237	1743
120	238	1735
121	240	1729
122	241	1723
123	242	1716
124	244	1709
125	245	1703
126	246	1696
127	248	1690
128	249	1684
129	250	1678
130	252	1672
131	253	1665
132	254	1659
133	255	1653
134	257	1647
135	258	1641
136	259	1635
137	260	1629
138	262	1623
139	263	1617
140	264	1612
141	265	1606
142	267	1600
143	268	1595
144	269	1589
145	270	1584
146	272	1579
147	273	1573
148	274	1568
149	275	1563
150	277	1557
151	278	1552
152	279	1547
153	280	1542
154	282	1537
155	283	1532
156	284	1528
157	286	1524
158	287	1519
159	288	1515
160	289	1510
161	291	1506
162	292	1501
163	293	1497
164	295	1493
165	296	1488
166	297	1485
167	299	1480
168	300	1475
169	301	1471
170	302	1467
171	303	1463
172	305	1459
173	306	1455
174	307	1451
175	309	1447
176	310	1443
177	311	1439
178	312	1435
179	314	1431
180	315	1427
181	316	1424
182	318	1420
183	319	1416
184	320	1413
185	322	1409
186	323	1405
187	324	1402
188	326	1399
189	327	1396
190	328	1393
191	330	1389
192	331	1385
193	332	1382
194	334	1379
195	335	1376
196	336	1372
197	338	1369
198	339	1365
199	340	1361
200	341	1358
201	343	1355
202	344	1351
203	345	1348
204	346	1345
205	348	1342
206	349	1338
207	350	1335
208	351	1331
209	353	1328
210	354	1325
211	355	1321
212	356	1318
213	358	1315
214	359	1311
215	360	1308
216	361	1304
217	362	1301
218	364	1298
219	365	1295
220	366	1292
221	368	1289
222	369	1287
223	370	1283
224	371	1281
225	373	1278
226	374	1275
227	375	1272
228	377	1269
229	378	1266
230	379	1263
231	380	1260
232	382	1258
233	383	1255
234	384	1252
235	386	1250
236	387	1247
237	388	1245
238	390	1242
239	391	1239
240	392	1237
241	394	1234
242	395	1231
243	396	1228
244	397	1226
245	399	1223
246	400	1220
247	401	1217
248	402	1215
249	404	1212
250	405	1210
251	406	1207
252	408	1204
253	409	1202
254	410	1199
255	411	1197
256	413	1194
257	414	1192
258	415	1189
259	417	1187
260	418	1184
261	419	1181
262	420	1179
263	422	1176
264	423	1174
265	424	1171
266	425	1169
267	427	1167
268	428	1164
269	429	1161
270	431	1159
271	432	1157
272	433	1155
273	435	1152
274	436	1150
275	437	1147
276	438	1145
277	440	1143
278	441	1140
279	442	1138
280	444	1136
281	445	1133
282	446	1131
283	448	1129
284	449	1127
285	450	1124
286	451	1122
287	453	1120
288	454	1118
289	455	1115
290	457	1113
291	458	1111
292	459	1109
293	461	1107
294	462	1105
295	463	1103
296	465	1101
297	466	1099
298	467	1096
299	468	1094
300	470	1092
301	471	1090
302	473	1088
303	474	1086
304	475	1083
305	477	1081
306	478	1079
307	479	1077
308	480	1075
309	482	1073
310	483	1071
311	484	1069
312	486	1067
313	487	1065
314	488	1062
315	490	1061
316	491	1059
317	492	1056
318	494	1054
319	495	1052
320	496	1050
321	497	1048
322	499	1046
323	500	1044
324	501	1042
325	503	1040
326	504	1038
327	505	1036
328	507	1034
329	508	1032
330	509	1030
331	511	1028
332	512	1026
333	514	1025
334	515	1023
335	516	1021
336	518	1019
337	519	1017
338	520	1015
339	521	1013
340	523	1011
341	524	1009
342	525	1007
343	527	1005
344	528	1003
345	529	1001
346	531	999
347	532	997
348	533	995
349	535	994
350	536	992
351	537	990
352	539	988
353	540	986
354	541	984
355	543	982
356	544	980
357	545	978
358	547	976
359	548	974
360	549	972
361	550	970
362	552	969
363	553	967
364	554	965
365	556	963
366	557	961
367	558	959
368	560	957
369	561	955
370	562	954
371	564	952
372	565	950
373	566	948
374	567	946
375	569	944
376	570	943
377	572	941
378	573	939
379	574	937
380	576	935
381	577	934
382	578	932
383	580	930
384	581	929
385	582	927
386	584	925
387	585	923
388	586	921
389	588	920
390	589	918
391	590	916
392	592	914
393	593	912
394	594	910
395	596	909
396	597	907
397	598	905
398	600	903
399	601	902
400	602	900
401	604	898
402	605	896
403	606	895
404	608	893
405	609	891
406	610	889
407	612	888
408	613	886
409	614	884
410	616	882
411	617	881
412	618	879
413	620	877
414	621	876
415	622	874
416	624	872
417	625	870
418	626	869
419	628	867
420	629	866
421	631	864
422	632	862
423	633	861
424	635	859
425	636	857
426	637	855
427	639	854
428	640	852
429	642	851
430	643	849
431	645	848
432	646	846
433	647	844
434	649	843
435	650	841
436	651	839
437	653	838
438	654	836
439	655	834
440	657	833
441	658	831
442	659	829
443	661	828
444	662	826
445	664	824
446	665	823
447	666	821
448	668	819
449	669	818
450	670	816
451	672	815
452	673	813
453	675	811
454	676	810
455	678	808
456	679	807
457	680	805
458	682	804
459	683	802
460	685	800
461	686	799
462	687	797
463	689	796
464	690	794
465	692	793
466	693	791
467	695	790
468	696	788
469	697	786
470	699	785
471	700	783
472	701	781
473	703	780
474	704	778
475	706	777
476	707	775
477	709	774
478	710	772
479	711	771
480	713	769
481	714	767
482	715	766
483	717	764
484	718	763
485	719	761
486	721	759
487	722	758
488	724	756
489	725	755
490	726	753
491	728	752
492	729	750
493	731	749
494	732	747
495	733	745
496	735	744
497	736	742
498	738	740
499	739	739
500	740	737
501	742	736
502	743	734
503	744	733
504	746	731
505	747	729
506	748	728
507	750	726
508	751	725
509	753	723
510	754	722
511	755	720
512	757	718
513	758	717
514	759	715
515	761	714
516	762	712
517	764	711
518	765	709
519	766	707
520	768	706
521	769	704
522	770	703
523	772	701
524	773	699
525	775	698
526	776	697
527	777	695
528	779	693
529	780	692
530	782	690
531	783	689
532	784	687
533	786	686
534	787	684
535	789	683
536	790	681
537	791	680
538	793	678
539	794	676
540	796	675
541	797	674
542	799	672
543	800	670
544	801	669
545	803	667
546	804	666
547	805	664
548	807	663
549	808	661
550	810	660
551	811	658
552	812	657
553	814	655
554	815	654
555	817	652
556	818	651
557	819	649
558	821	647
559	822	646
560	823	644
561	825	643
562	826	641
563	827	640
564	829	638
565	830	636
566	832	635
567	833	633
568	834	632
569	836	630
570	837	629
571	839	627
572	840	626
573	842	625
574	843	623
575	844	621
576	846	620
577	847	618
578	849	617
579	850	615
580	852	614
581	853	612
582	854	611
583	856	609
584	857	608
585	858	606
586	860	605
587	861	603
588	862	602
589	864	600
590	865	599
591	867	597
592	868	596
593	869	594
594	871	592
595	872	591
596	873	589
597	875	588
598	876	586
599	878	585
600	879	583
601	881	582
602	882	580
603	883	579
604	885	577
605	886	576
606	887	574
607	889	573
608	890	571
609	891	570
610	893	568
611	894	567
612	896	565
613	897	564
614	899	562
615	900	561
616	902	559
617	903	558
618	904	556
619	906	555
620	907	553
621	908	552
622	910	550
623	911	549
624	912	547
625	914	546
626	915	544
627	917	543
628	918	541
629	919	540
630	921	538
631	922	537
632	923	535
633	925	534
634	926	532
635	928	531
636	929	529
637	931	528
638	932	526
639	934	525
640	935	523
641	936	522
642	938	520
643	939	519
644	940	517
645	942	516
646	943	514
647	945	513
648	946	511
649	947	510
650	949	508
651	950	507
652	951	505
653	953	504
654	954	502
655	955	501
656	957	499
657	958	498
658	960	496
659	961	495
660	963	494
661	964	492
662	966	491
663	967	489
664	968	488
665	970	486
666	971	485
667	973	483
668	974	482
669	976	480
670	977	479
671	978	477
672	980	476
673	981	474
674	982	473
675	984	471
676	985	470
677	987	468
678	988	467
679	989	465
680	991	464
681	992	462
682	994	461
683	995	459
684	996	458
685	998	456
686	999	455
687	1000	453
688	1002	452
689	1003	450
690	1005	449
691	1006	448
692	1007	446
693	1009	445
694	1010	443
695	1012	442
696	1013	440
697	1014	439
698	1016	437
699	1017	436
700	1019	434
701	1020	433
702	1022	431
703	1023	430
704	1024	428
705	1026	427
706	1027	425
707	1028	424
708	1030	422
709	1031	421
710	1032	419
711	1034	418
712	1035	416
713	1037	415
714	1038	413
715	1039	412
716	1041	410
717	1042	409
718	1043	407
719	1045	406
720	1046	405
721	1048	403
722	1049	402
723	1051	400
724	1052	399
725	1053	397
